0, 1, 1.74292
0, 1, 1.61914
0, 1, 1.77369
0, 1, 0.0980141
0, 1, 0.0998271
0, 1, 1.62169
0, 1, 1.61622
0, 1, 1.57583
0, 1, 1.69581
0, 1, 1.66355
0, 1, 1.63259
0, 1, 1.80036
0, 1, 0.100627
0, 1, 0.105852
0, 1, 0.18667
0, 1, 1.76768
0, 1, 1.59687
0, 1, 1.71207
0, 1, 0.0672631
0, 1, 1.65049
0, 1, 0.127372
0, 1, 1.64466
0, 1, 1.70757
0, 1, 1.79258
0, 1, 1.69449
0, 1, 1.69622
0, 1, 1.74709
0, 1, 2.42106
0, 1, 1.65364
0, 1, 1.65719
0, 1, 1.70196
0, 1, 1.67775
0, 1, 1.62251
0, 1, 1.74141
0, 1, 1.72002
0, 1, 2.34415
0, 1, 1.9217
